,0
roll_mean_3,0.9110331427037964
lag_2,0.033884587422268436
roll_std_3,0.023605053463769322
lag_1,0.007139196778154986
lag_5,0.006425479820094933
roll_mean_6,0.004910818693830083
roll_std_12,0.0013688049779727648
roll_std_6,0.0009856235016881642
roll_std_48,0.0007986850845883314
lag_3,0.0006828902018386387
roll_std_24,0.0005305224611315746
lag_35,0.00048287768517828113
roll_std_96,0.0004185926836194063
lag_4,0.00033642315737476337
lag_17,0.0003322300935542269
lag_6,0.0002993004985097266
lag_29,0.00028749647135368757
lag_34,0.00028017260045871414
lag_24,0.0002787787866955066
lag_7,0.00027507686664430533
roll_mean_12,0.00024238319790290886
lag_15,0.0002400464785920893
lag_26,0.00022740233963889912
lag_13,0.00022569537830746615
lag_28,0.00021804079125696446
lag_9,0.00021051902480854004
lag_36,0.00020797692735323946
lag_33,0.00020364995209517288
lag_20,0.00019604942604986624
lag_31,0.00018453654840391937
roll_mean_96,0.00018345264669544312
hour_cos,0.0001811124241014887
lag_32,0.00017878113612983249
lag_18,0.00017730522649733122
lag_16,0.00017635376706492904
lag_22,0.00017546868928145623
lag_25,0.0001745640172073078
lag_30,0.00016942217439228365
lag_10,0.0001677910165466279
lag_23,0.0001623844528089236
lag_8,0.00015478574415682354
lag_21,0.00015114800062197663
lag_12,0.0001498720018190466
lag_19,0.0001497872945800962
hour_sin,0.00014941378331000414
lag_27,0.0001486772946184298
lag_14,0.00014257316176289803
dow_sin,0.00013437972876443506
lag_11,0.00011709826693116362
hour,0.00011569574068699153
roll_mean_48,0.00010769569043567524
roll_mean_24,0.00010641317492263572
dow_cos,6.866999495406746e-05
dow,4.510055477895408e-05
month,0.0
